frame_id,timestamp,sofa_detected,centroid_x,centroid_y,frame_center_x,frame_center_y,offset_x,offset_y,centrado,depth_value,depth_error
22,1750433739.6567435,1,194,86,200,150,-6,-1,1,1.502387285232544,-0.2782589793205261
23,1750433740.4216635,0,-1,-1,200,150,-1,-1,0,1.502387285232544,-0.2782589793205261
24,1750433740.8276896,0,-1,-1,200,150,-1,-1,0,1.502387285232544,-0.2782589793205261
25,1750433741.163269,0,-1,-1,200,150,-1,-1,0,1.502387285232544,-0.2782589793205261
26,1750433741.5090485,0,-1,-1,200,150,-1,-1,0,1.502387285232544,-0.2782589793205261
27,1750433742.0979006,1,190,99,200,150,-10,-1,1,1.9787323474884033,0.0
28,1750433743.0642433,1,219,103,200,150,19,-1,1,1.8895457983016968,0.0
29,1750433744.0233974,1,238,106,200,150,38,-1,1,2.043966054916382,0.0
30,1750433744.926431,1,244,103,200,150,44,-1,1,1.7141945362091064,0.0
31,1750433745.888629,1,251,104,200,150,51,-1,1,1.8763008117675781,0.0
32,1750433746.8418224,1,261,101,200,150,61,-1,0,1.8285186290740967,0.0
33,1750433747.76077,1,272,99,200,150,72,-1,0,1.6259516477584839,-0.21889913082122803
34,1750433748.6433437,1,277,101,200,150,77,-1,0,2.0949783325195312,0.0
35,1750433749.250765,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
36,1750433749.542185,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
37,1750433749.8470032,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
38,1750433750.154648,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
39,1750433750.4556673,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
40,1750433750.7657225,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
41,1750433751.0641317,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
42,1750433751.383873,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
43,1750433751.687534,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
44,1750433751.999033,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
45,1750433752.300238,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
46,1750433752.6069546,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
47,1750433752.91929,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
48,1750433753.2092662,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
49,1750433753.5103285,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
50,1750433753.8755968,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
51,1750433754.1696908,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
52,1750433754.4672256,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
53,1750433754.7768342,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
54,1750433755.0687835,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
55,1750433755.3776672,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
56,1750433755.6882308,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
57,1750433755.9793906,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
58,1750433756.2750452,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
59,1750433756.5722413,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
60,1750433756.8646114,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
61,1750433757.1694736,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
62,1750433757.458452,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
63,1750433757.760821,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
64,1750433758.0673108,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
65,1750433758.364358,0,-1,-1,200,150,-1,-1,0,2.0949783325195312,0.0
66,1750433758.8891935,1,126,97,200,150,-74,-1,0,2.334333896636963,0.0
67,1750433759.5115333,0,-1,-1,200,150,-1,-1,0,2.334333896636963,0.0
68,1750433759.809752,0,-1,-1,200,150,-1,-1,0,2.334333896636963,0.0
69,1750433760.1122975,0,-1,-1,200,150,-1,-1,0,2.334333896636963,0.0
70,1750433760.419454,0,-1,-1,200,150,-1,-1,0,2.334333896636963,0.0
